c_date,option_symbol,dte,stocks_id,expiration_date,call_put,price_strike,price_open,price_high,price_low,price,volume,openinterest,iv,delta,preiv,gamma,theta,vega,rho,Ask,Bid,underlying_price,calc_OTM,option_id,is_settlement,absolute_change
2008-10-13,SWGWR,40,627,2008-11-22,P,96.0,8.05,8.4,4.35,4.425,17925,56439,0.540762,-0.337857,0.540762,0.020629,-0.079974,0.120172,-0.036274,4.5,4.35,101.35,5.28,,0,5.600000000000005
2008-10-13,SWGKB,40,627,2008-11-22,C,106.0,2.7,4.0,2.21,4.25,8440,7976,0.452216,0.422283,0.452216,0.026122,-0.080062,0.12965,0.041189,4.35,4.15,101.35,4.59,,0,8.200000000000003
2008-11-05,SWGWR,17,627,2008-11-22,P,96.0,2.6,4.41,2.23,3.95,16018,62822,0.493606,-0.468631,0.493606,0.039067,-0.117984,0.082559,-0.020001,4.0,3.9,96.19,0.2,,0,
2008-11-05,SWGKB,17,627,2008-11-22,C,106.0,1.04,1.14,0.47,0.53999996,11251,69899,0.391128,0.136245,0.391128,0.026909,-0.052859,0.045356,0.005852,0.55,0.53,96.19,10.2,,0,
2008-10-28,SZCWK,25,627,2008-11-22,P,89.0,6.75,8.55,3.9,4.05,41370,45230,0.651912,-0.343875,0.651912,0.023154,-0.11526,0.089995,-0.02216,4.15,3.95,93.76,5.08,,0,1.6000000000000014
2008-10-28,SWGKT,25,627,2008-11-22,C,98.0,1.85,3.85,1.35,3.75,7013,35288,0.553094,0.413939,0.553094,0.028684,-0.108802,0.095686,0.024054,3.85,3.65,93.76,4.52,,0,9.600000000000009
2008-11-20,SZCWK,2,627,2008-11-22,P,89.0,8.9,13.75,6.74,13.575,1182,41578,1.470264,-0.983059,-1.0,0.007319,-0.119975,0.001647,-0.001327,13.9,13.25,75.45,-17.96,,0,
2008-11-20,SWGKT,2,627,2008-11-22,C,98.0,0.01,0.03,0.01,0.015,385,54885,1.571525,0.000852,-1.0,0.000468,-0.009023,0.000115,2e-06,0.02,0.01,75.45,29.89,,0,
2009-03-23,SZCPZ,26,627,2009-04-18,P,78.0,3.0,3.1,1.8,1.915,52242,48665,0.436584,-0.301037,0.436584,0.037216,-0.065305,0.075398,-0.016752,1.94,1.89,82.22,5.13,,0,2.599999999999998
2009-03-23,SZCDH,26,627,2009-04-18,C,86.0,0.74,1.72,0.62,1.6700001,18783,25510,0.364805,0.337512,0.364805,0.046545,-0.057741,0.078621,0.017863,1.69,1.65,82.22,4.6,,0,8.000000000000007
2009-04-15,SZCPZ,3,627,2009-04-18,P,78.0,0.11,0.11,0.03,0.035,4359,96429,0.592196,-0.020182,-1.0,0.013056,-0.045562,0.003079,-9.6e-05,0.05,0.02,85.25,8.5,,0,
2009-04-15,SZCDH,3,627,2009-04-18,C,86.0,0.43,0.79,0.35,0.765,53261,64183,0.434524,0.399182,0.434524,0.140819,-0.265115,0.024367,0.001823,0.77,0.76,85.25,0.88,,0,
2020-03-13,SPY   200413C00284000,31,627,2020-04-13,C,284.0,6.25,6.25,3.23,7.46,20,19,0.430485,0.348899,0.430485,0.010853,-0.180621,0.290229,0.073805,9.17,5.75,270.45,5.01,108775703,0,0.19999999999999576
2020-03-13,SPY   200413P00257000,31,627,2020-04-13,P,257.0,18.82,23.1,12.0,12.219999,149,73,0.570852,-0.360686,0.570852,0.00832,-0.292875,0.290028,-0.092964,13.91,10.53,270.45,4.97,108798400,0,0.600000000000005
2020-04-07,SPY   200413P00257000,6,627,2020-04-13,P,257.0,1.26,3.44,1.25,3.1750002,1794,801,0.464445,-0.305292,0.464445,0.02235,-0.459531,0.120417,-0.012742,3.22,3.13,264.4,2.8,108798400,0,
2020-04-07,SPY   200413C00284000,6,627,2020-04-13,C,284.0,1.49,1.61,0.4,0.36,1058,911,0.366145,0.067252,0.366145,0.010488,-0.135099,0.044131,0.002864,0.38,0.34,264.4,7.41,108775703,0,
2020-03-24,SPY   200424C00256000,31,627,2020-04-24,C,256.0,4.35,8.63,4.35,9.63,38,62,0.514218,0.401678,0.514218,0.010592,-0.23012,0.274652,0.074949,9.7,9.56,243.67,5.06,108798453,0,1.1999999999999922
2020-03-24,SPY   200424P00231000,31,627,2020-04-24,P,231.0,10.94,13.0,10.0,10.635,75,133,0.590034,-0.344199,0.590034,0.008833,-0.247628,0.258348,-0.072645,10.73,10.54,243.67,5.2,108961300,0,4.0000000000000036
2020-04-16,SPY   200424P00231000,8,627,2020-04-24,P,231.0,0.24,0.28,0.2,0.16499999,121,1670,0.617138,-0.017392,0.617138,0.001686,-0.068677,0.017758,-0.0011,0.17,0.16,279.05,17.22,108961300,0,
2020-04-16,SPY   200424C00256000,8,627,2020-04-24,C,256.0,,,,24.115,0,1115,0.49397,0.886692,0.49397,0.009382,-0.234292,0.0791,0.048946,24.25,23.98,279.05,-8.26,108798453,0,
